epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5383,1.22751,2.3656,1.55572,0.74116,0.5446,0.64094,0.46941,1.04826,1.78677,1.60953,0.000541775,0.000541775,0.000541775
2,27.7501,1.33918,1.57386,1.54977,0.22151,0.48219,0.19115,0.07405,2.36389,11.082,4.19214,0.00107571,0.00107571,0.00107571
3,39.4985,1.44567,1.69879,1.6307,0.16424,0.14838,0.06834,0.01693,3.14333,23.2051,5.33695,0.00158765,0.00158765,0.00158765
4,55.9648,1.51221,1.64467,1.67388,0.3875,0.46395,0.43328,0.22006,1.85546,6.44444,2.6426,0.00156798,0.00156798,0.00156798
5,78.0708,1.49656,1.55713,1.63406,0.42253,0.40329,0.36596,0.13995,2.45956,3.19399,3.1045,0.00153497,0.00153497,0.00153497
6,99.4546,1.37423,1.46005,1.55886,0.58516,0.62872,0.60281,0.39462,1.43018,2.22098,1.99104,0.00150197,0.00150197,0.00150197
7,122.653,1.35458,1.40828,1.56235,0.71,0.72915,0.69994,0.49018,1.25054,1.5901,1.75776,0.00146896,0.00146896,0.00146896
8,154.377,1.31262,1.36056,1.55235,0.79362,0.59179,0.68332,0.45118,1.30587,1.71857,1.78856,0.00143595,0.00143595,0.00143595
9,179.103,1.32047,1.42713,1.56845,0.74991,0.74487,0.76995,0.54722,1.12742,1.46601,1.6382,0.00140295,0.00140295,0.00140295
10,196.085,1.24149,1.35421,1.51413,0.78458,0.78193,0.80996,0.59703,1.05775,1.00497,1.56836,0.00136994,0.00136994,0.00136994
11,214.57,1.19204,1.27756,1.457,0.84714,0.80322,0.82065,0.61878,0.98858,0.9932,1.51675,0.00133693,0.00133693,0.00133693
12,232.243,1.19846,1.26515,1.47618,0.79797,0.60628,0.66233,0.44281,1.4253,1.49458,1.933,0.00130393,0.00130393,0.00130393
13,248.973,1.1626,1.22526,1.44788,0.88099,0.8353,0.84844,0.66887,0.95113,0.83444,1.50573,0.00127092,0.00127092,0.00127092
14,266.163,1.14847,1.20524,1.43151,0.8551,0.81352,0.83153,0.67297,0.8964,0.77484,1.43053,0.00123791,0.00123791,0.00123791
15,284.494,1.11656,1.13612,1.40955,0.91337,0.83249,0.85111,0.6476,1.01115,0.83038,1.54798,0.00120491,0.00120491,0.00120491
16,301.07,1.08807,1.13338,1.39648,0.94549,0.78328,0.85772,0.69187,0.85682,0.69311,1.42616,0.0011719,0.0011719,0.0011719
17,317.645,1.01544,1.05278,1.37517,0.91706,0.83404,0.8634,0.68985,0.90467,0.69989,1.40157,0.00113889,0.00113889,0.00113889
18,334.411,1.074,1.09238,1.403,0.89876,0.8197,0.84475,0.69725,0.83557,0.70204,1.40047,0.00110589,0.00110589,0.00110589
19,353.338,0.99371,1.04718,1.34805,0.90854,0.82409,0.85097,0.68818,0.86341,0.993,1.415,0.00107288,0.00107288,0.00107288
