epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4298,1.72514,2.85329,2.00011,0.40486,0.56875,0.57019,0.20596,1.79427,4.14441,2.46045,0.000541775,0.000541775,0.000541775
2,22.4141,1.70232,1.8502,1.93586,0.35828,0.40625,0.26961,0.08707,2.40628,14.5743,5.41117,0.00107571,0.00107571,0.00107571
3,32.217,1.75477,1.74004,1.95448,0.16046,0.175,0.0926,0.02237,2.75845,6.98453,3.71892,0.00158765,0.00158765,0.00158765
4,42.3738,1.71298,1.68533,1.91035,0.04091,0.16875,0.02063,0.00576,2.69037,79.6803,4.17995,0.00156798,0.00156798,0.00156798
5,52.6376,1.66896,1.54444,1.87482,0.24499,0.58459,0.19345,0.07015,2.30621,40.6483,2.70469,0.00153497,0.00153497,0.00153497
6,62.852,1.63293,1.50628,1.84179,0.45331,0.6375,0.5136,0.18925,2.22312,2.58895,2.61726,0.00150197,0.00150197,0.00150197
7,73.0656,1.56785,1.41449,1.78496,0.75567,0.7456,0.79371,0.37849,1.66639,1.82957,1.95337,0.00146896,0.00146896,0.00146896
8,83.5432,1.5387,1.39623,1.79195,0.74442,0.79824,0.82609,0.41012,1.63915,1.92777,1.86485,0.00143595,0.00143595,0.00143595
9,93.8594,1.57447,1.4218,1.79814,0.72962,0.83458,0.85781,0.47306,1.38399,1.20028,1.64082,0.00140295,0.00140295,0.00140295
10,104.348,1.50488,1.37757,1.72714,0.89471,0.79595,0.88811,0.42763,1.75532,1.44564,1.95706,0.00136994,0.00136994,0.00136994
11,114.616,1.45557,1.23907,1.69095,0.86139,0.91875,0.93961,0.52538,1.35939,1.16333,1.62519,0.00133693,0.00133693,0.00133693
12,124.908,1.49846,1.26077,1.71843,0.84926,0.90506,0.94556,0.53715,1.46832,1.0069,1.72009,0.00130393,0.00130393,0.00130393
13,135.25,1.43591,1.23327,1.68329,0.93134,0.90319,0.95186,0.51935,1.55326,0.84824,1.72627,0.00127092,0.00127092,0.00127092
14,145.407,1.43176,1.22156,1.67229,0.86132,0.88362,0.93775,0.55402,1.3593,0.91358,1.61541,0.00123791,0.00123791,0.00123791
15,155.732,1.37731,1.19381,1.62562,0.92377,0.94869,0.96264,0.56328,1.42223,0.88815,1.69706,0.00120491,0.00120491,0.00120491
16,166.001,1.42568,1.16898,1.67269,0.91683,0.86875,0.93755,0.52605,1.48586,0.94278,1.74371,0.0011719,0.0011719,0.0011719
17,176.153,1.36979,1.16005,1.64161,0.98083,0.94708,0.96596,0.54156,1.62532,0.88696,1.80859,0.00113889,0.00113889,0.00113889
18,186.327,1.40454,1.16427,1.65755,0.93728,0.93103,0.95601,0.56294,1.44735,0.7822,1.61627,0.00110589,0.00110589,0.00110589
19,196.522,1.37316,1.14675,1.62108,0.96869,0.96229,0.97729,0.61748,1.31622,0.73663,1.53959,0.00107288,0.00107288,0.00107288
20,206.716,1.32502,1.06503,1.59042,0.97283,0.92299,0.93696,0.57505,1.45496,0.76751,1.63901,0.00103987,0.00103987,0.00103987
21,216.933,1.32995,1.07996,1.5886,0.96677,0.93925,0.96669,0.59838,1.32007,0.79175,1.57303,0.00100687,0.00100687,0.00100687
22,227.307,1.31345,1.06354,1.58723,0.97397,0.97399,0.97729,0.62587,1.25667,0.67488,1.5014,0.000973861,0.000973861,0.000973861
23,237.769,1.30793,1.04566,1.59705,0.96885,0.975,0.97538,0.65262,1.2115,0.66157,1.43816,0.000940855,0.000940855,0.000940855
24,248.171,1.29467,1.0595,1.57987,0.95888,0.94643,0.96894,0.61277,1.34934,0.66403,1.55818,0.000907848,0.000907848,0.000907848
25,258.328,1.2715,1.05894,1.56041,0.98287,0.94783,0.97754,0.6617,1.16116,0.63561,1.39811,0.000874842,0.000874842,0.000874842
26,268.717,1.22342,1.04921,1.51856,0.98355,0.96967,0.97944,0.64542,1.20918,0.62678,1.42512,0.000841835,0.000841835,0.000841835
27,278.942,1.27517,1.04996,1.54773,0.99052,0.95625,0.97937,0.64946,1.18573,0.63624,1.4194,0.000808828,0.000808828,0.000808828
28,289.13,1.24111,0.98409,1.54225,0.94305,0.97552,0.97694,0.70619,1.02329,0.61579,1.39393,0.000775822,0.000775822,0.000775822
29,299.67,1.22896,1.01852,1.52562,0.98155,0.9625,0.97949,0.74219,0.91098,0.59513,1.27094,0.000742815,0.000742815,0.000742815
30,310.027,1.17757,0.97459,1.49456,0.96564,0.95758,0.97455,0.62986,1.27051,0.64398,1.47828,0.000709809,0.000709809,0.000709809
31,320.255,1.18029,0.97522,1.48961,0.9792,0.95245,0.97651,0.68763,1.07739,0.58349,1.33295,0.000676802,0.000676802,0.000676802
32,330.502,1.18961,0.95114,1.49231,0.9853,0.96678,0.97956,0.72446,0.96872,0.52949,1.27415,0.000643795,0.000643795,0.000643795
33,340.747,1.17362,0.93278,1.47624,0.98792,0.94067,0.9786,0.6816,1.09582,0.54598,1.35803,0.000610789,0.000610789,0.000610789
34,350.982,1.14529,0.929,1.47249,0.98351,0.96875,0.97891,0.64908,1.19321,0.5669,1.39478,0.000577782,0.000577782,0.000577782
35,361.46,1.13998,0.91387,1.46538,0.98535,0.97259,0.97374,0.69235,1.06909,0.56007,1.32278,0.000544776,0.000544776,0.000544776
36,371.766,1.15066,0.923,1.47915,0.98097,0.95802,0.96227,0.68042,1.12487,0.58401,1.41875,0.000511769,0.000511769,0.000511769
37,381.965,1.103,0.91016,1.44524,0.96942,0.9625,0.97379,0.71224,1.01989,0.53826,1.29588,0.000478762,0.000478762,0.000478762
38,392.254,1.08105,0.86557,1.43875,0.97794,0.975,0.97976,0.72669,0.96336,0.52866,1.28114,0.000445756,0.000445756,0.000445756
39,402.449,1.06143,0.83736,1.40322,0.98084,0.96875,0.97144,0.75429,0.87511,0.49079,1.21829,0.000412749,0.000412749,0.000412749
40,412.767,1.07065,0.84528,1.38878,0.98627,0.96864,0.97435,0.74398,0.93082,0.50615,1.23271,0.000379743,0.000379743,0.000379743
41,437.298,0.90291,0.57636,1.34393,0.97832,0.975,0.97646,0.77636,0.83258,0.47399,1.19391,0.000346736,0.000346736,0.000346736
